Year,State,Median Home Price ($),Median Rent Price ($),Percent Affordable Housing (%),Median Income ($),Population,Government Assistance (%)
2006,Washington,482885,2417,41,62898,1157053,7
2007,Washington,652666,3032,40,81019,21708516,28
2008,Washington,241309,2484,11,71397,19225512,17
2009,Washington,475339,3443,35,51605,33532411,18
2010,Washington,259446,1597,50,113018,6205125,28
2011,Washington,282026,2635,27,100590,19102604,28
2012,Washington,521315,1081,41,42553,38907891,27
2013,Washington,481733,3124,38,90661,3485186,20
2014,Washington,684543,2752,34,53724,24174191,20
2015,Washington,409908,1835,14,73035,6654230,6
2016,Washington,428982,3363,49,61177,27849761,6
2017,Washington,360314,1782,48,78327,19629755,16
2018,Washington,442276,3304,13,99458,13626374,16
2019,Washington,762274,3478,46,102875,33229685,29
2020,Washington,430936,2141,35,49860,32809830,17
2021,Washington,364785,1879,22,79881,38145296,17
2022,Washington,473000,2847,28,117438,8800992,7
2005,Georgia,758423,3248,11,83783,9329212,26
2006,Georgia,763540,2446,35,62367,25871654,24
2007,Georgia,680592,3326,31,114552,30059862,15
2008,Georgia,252483,2730,42,93431,26443698,6
2009,Georgia,349528,1537,12,101385,36035364,12
2010,Georgia,660941,1477,18,63434,3368053,30
2011,Georgia,519420,3067,10,68813,7109672,15
2012,Georgia,568181,2183,48,65648,27306922,14
2013,Georgia,659388,862,33,106512,19731735,12
2014,Georgia,200648,1113,33,77226,12934232,24
2015,Georgia,215630,1761,42,65071,21069079,21
2016,Georgia,276273,1721,16,110881,27558459,7
2017,Georgia,798252,3240,16,96167,33992469,28
2018,Georgia,216061,2406,44,44648,10029281,21
2019,Georgia,335565,2109,26,62229,16647495,14
2020,Georgia,446702,2380,26,93982,27642120,29
2021,Georgia,306906,2042,35,98540,24434634,18
2022,Georgia,387341,979,50,107292,5626359,29
2005,Arizona,742222,1361,11,111098,31838077,6
2006,Arizona,318623,1510,41,63276,38318002,27
2007,Arizona,700195,2264,11,65763,32664437,20
2008,Arizona,260193,2074,38,61624,2120180,13
2009,Arizona,340332,2611,26,43470,10186971,10
2010,Arizona,472120,1187,18,117433,39550407,19
2011,Arizona,243931,959,12,87702,9357235,26
2012,Arizona,401442,1524,38,42266,34570763,30
2013,Arizona,424198,2514,11,50776,38338677,10
2014,Arizona,768579,1311,22,66955,9345255,6
2015,Arizona,616759,2664,48,80692,6100254,26
2016,Arizona,490192,1566,35,93109,3143074,20
2017,Arizona,260831,3188,27,58608,1368064,26
2018,Arizona,501990,3390,38,107581,9641111,14
2019,Arizona,788326,2022,15,99213,7503327,16
2020,Arizona,244067,1794,37,40424,5907782,17
2021,Arizona,367379,2121,42,117831,29683707,22
2022,Arizona,553675,2938,17,43338,4621879,26
2005,Nevada,740853,2587,22,60980,5541245,19
2006,Nevada,569337,2836,47,46962,1770540,6
2007,Nevada,608300,2757,29,105072,9867152,10
2008,Nevada,588395,2349,23,107091,13840546,7
2009,Nevada,360928,1922,44,42474,29108372,12
2010,Nevada,507765,3330,15,75350,27946218,10
2011,Nevada,601685,1979,49,46907,20003985,28
2012,Nevada,660725,924,19,47246,27928477,19
2013,Nevada,307063,1846,11,69902,37579470,27
2014,Nevada,359637,1378,30,74386,9749458,21
2015,Nevada,283912,3073,25,94321,1464229,24
2016,Nevada,484073,978,33,104168,6357987,26
2017,Nevada,562179,2442,16,40244,8117570,8
2018,Nevada,683601,3248,31,59812,14604518,18
2019,Nevada,501264,2428,14,60211,24414679,15
2020,Nevada,771453,2869,48,45580,33869822,21
2021,Nevada,523211,2270,43,108550,10444055,24
2022,Nevada,310895,2577,13,67853,14862421,15
